X	Y	eta_m
-775.000000	1275.000000	0.100000
-775.000000	1325.000000	0.100000
-775.000000	1375.000000	0.100000
-775.000000	1425.000000	0.100000
-775.000000	1475.000000	0.100000
-775.000000	1525.000000	0.113272
-775.000000	1575.000000	0.143455
-775.000000	1625.000000	0.198426
-775.000000	1675.000000	0.242489
-775.000000	1725.000000	0.316696
-775.000000	1775.000000	0.366334
-775.000000	1825.000000	0.472232
-775.000000	1875.000000	0.479645
-775.000000	1925.000000	0.528038
-775.000000	1975.000000	0.548167
-725.000000	-1975.000000	0.111216
-725.000000	-1925.000000	0.117123
-725.000000	-1875.000000	0.102811
-725.000000	-1825.000000	0.120911
-725.000000	-1775.000000	0.117584
-725.000000	-1725.000000	0.179579
-725.000000	-1675.000000	0.185687
-725.000000	-1625.000000	0.210832
-725.000000	-1575.000000	0.231713
-725.000000	-1525.000000	0.261373
-725.000000	-1475.000000	0.261443
-725.000000	-1425.000000	0.237546
-725.000000	-1375.000000	0.275377
-725.000000	-1325.000000	0.268283
-725.000000	-1275.000000	0.247005
-725.000000	-1225.000000	0.256127
-725.000000	-1175.000000	0.236504
-725.000000	-1125.000000	0.212425
-725.000000	-1075.000000	0.201903
-725.000000	-1025.000000	0.169031
-725.000000	-975.000000	0.140558
-725.000000	-925.000000	0.137925
-725.000000	-875.000000	0.109962
-725.000000	-825.000000	0.100000
-725.000000	-775.000000	0.100000
-725.000000	-725.000000	0.100558
-725.000000	-675.000000	0.100000
-725.000000	-625.000000	0.101000
-725.000000	-575.000000	0.102118
-725.000000	-525.000000	0.100000
-725.000000	-475.000000	0.082143
-725.000000	-425.000000	0.086498
-725.000000	-375.000000	0.003678
-725.000000	-325.000000	-0.528643
-725.000000	-275.000000	-1.725779
-725.000000	725.000000	-5.000000
-725.000000	775.000000	-0.451713
-725.000000	825.000000	0.100000
-725.000000	875.000000	0.100000
-725.000000	925.000000	0.100000
-725.000000	975.000000	0.100000
-725.000000	1025.000000	0.100000
-725.000000	1075.000000	0.100000
-725.000000	1125.000000	0.100000
-725.000000	1175.000000	0.100000
-725.000000	1225.000000	0.100000
-725.000000	1275.000000	0.100000
-725.000000	1325.000000	0.100000
-725.000000	1375.000000	0.100000
-725.000000	1425.000000	0.100000
-725.000000	1475.000000	0.119748
-725.000000	1525.000000	0.182761
-725.000000	1575.000000	0.241232
-725.000000	1625.000000	0.321833
-725.000000	1675.000000	0.381516
-725.000000	1725.000000	0.493221
-725.000000	1775.000000	0.571494
-725.000000	1825.000000	0.705560
-725.000000	1875.000000	0.773469
-725.000000	1925.000000	0.838674
-725.000000	1975.000000	0.867572
-675.000000	-1975.000000	0.150120
-675.000000	-1925.000000	0.155274
-675.000000	-1875.000000	0.167861
-675.000000	-1825.000000	0.189456
-675.000000	-1775.000000	0.238144
-675.000000	-1725.000000	0.263935
-675.000000	-1675.000000	0.243093
-675.000000	-1625.000000	0.302817
-675.000000	-1575.000000	0.322151
-675.000000	-1525.000000	0.328177
-675.000000	-1475.000000	0.340277
-675.000000	-1425.000000	0.358086
-675.000000	-1375.000000	0.342413
-675.000000	-1325.000000	0.359431
-675.000000	-1275.000000	0.365217
-675.000000	-1225.000000	0.334348
-675.000000	-1175.000000	0.324100
-675.000000	-1125.000000	0.313069
-675.000000	-1075.000000	0.288630
-675.000000	-1025.000000	0.271980
-675.000000	-975.000000	0.221391
-675.000000	-925.000000	0.189306
-675.000000	-875.000000	0.157302
-675.000000	-825.000000	0.105190
-675.000000	-775.000000	0.100541
-675.000000	-725.000000	0.100000
-675.000000	-675.000000	0.100000
-675.000000	-625.000000	0.100000
-675.000000	-575.000000	0.100000
-675.000000	-525.000000	0.100000
-675.000000	-475.000000	0.051785
-675.000000	-425.000000	0.101084
-675.000000	-375.000000	-0.030496
-675.000000	-325.000000	-1.511115
-675.000000	725.000000	-5.000000
-675.000000	775.000000	-0.162786
-675.000000	825.000000	0.100000
-675.000000	875.000000	0.100000
-675.000000	925.000000	0.100000
-675.000000	975.000000	0.100000
-675.000000	1025.000000	0.100000
-675.000000	1075.000000	0.100000
-675.000000	1125.000000	0.100000
-675.000000	1175.000000	0.100000
-675.000000	1225.000000	0.100000
-675.000000	1275.000000	0.100000
-675.000000	1325.000000	0.100000
-675.000000	1375.000000	0.100000
-675.000000	1425.000000	0.141862
-675.000000	1475.000000	0.205524
-675.000000	1525.000000	0.317082
-675.000000	1575.000000	0.397873
-675.000000	1625.000000	0.544280
-675.000000	1675.000000	0.658699
-675.000000	1725.000000	0.899685
-675.000000	1775.000000	1.152859
-675.000000	1825.000000	1.276205
-675.000000	1875.000000	1.399374
-675.000000	1925.000000	1.593466
-675.000000	1975.000000	1.711065
-625.000000	-1975.000000	0.214082
-625.000000	-1925.000000	0.234362
-625.000000	-1875.000000	0.265367
-625.000000	-1825.000000	0.333256
-625.000000	-1775.000000	0.340840
-625.000000	-1725.000000	0.385883
-625.000000	-1675.000000	0.384232
-625.000000	-1625.000000	0.412511
-625.000000	-1575.000000	0.452155
-625.000000	-1525.000000	0.453312
-625.000000	-1475.000000	0.452443
-625.000000	-1425.000000	0.467068
-625.000000	-1375.000000	0.473795
-625.000000	-1325.000000	0.501707
-625.000000	-1275.000000	0.492424
-625.000000	-1225.000000	0.450166
-625.000000	-1175.000000	0.422059
-625.000000	-1125.000000	0.408411
-625.000000	-1075.000000	0.373710
-625.000000	-1025.000000	0.349102
-625.000000	-975.000000	0.303340
-625.000000	-925.000000	0.273631
-625.000000	-875.000000	0.231299
-625.000000	-825.000000	0.172824
-625.000000	-775.000000	0.111123
-625.000000	-725.000000	0.100000
-625.000000	-675.000000	0.100000
-625.000000	-625.000000	0.095385
-625.000000	-575.000000	0.100000
-625.000000	-525.000000	0.160344
-625.000000	-475.000000	0.131636
-625.000000	-425.000000	0.034728
-625.000000	-375.000000	0.078340
-625.000000	-325.000000	-4.711423
-625.000000	725.000000	-5.000000
-625.000000	775.000000	-0.097264
-625.000000	825.000000	0.100000
-625.000000	875.000000	0.100000
-625.000000	925.000000	0.100000
-625.000000	975.000000	0.100000
-625.000000	1025.000000	0.100000
-625.000000	1075.000000	0.100000
-625.000000	1125.000000	0.100000
-625.000000	1175.000000	0.100000
-625.000000	1225.000000	0.100000
-625.000000	1275.000000	0.100000
-625.000000	1325.000000	0.104471
-625.000000	1375.000000	0.162098
-625.000000	1425.000000	0.250271
-625.000000	1475.000000	0.333643
-625.000000	1525.000000	0.510610
-625.000000	1575.000000	0.659317
-625.000000	1625.000000	0.923675
-625.000000	1675.000000	1.128902
-625.000000	1725.000000	1.528760
-625.000000	1775.000000	1.894174
-625.000000	1825.000000	2.179499
-625.000000	1875.000000	2.473469
-625.000000	1925.000000	2.620994
-625.000000	1975.000000	2.756619
-575.000000	-1975.000000	0.420631
-575.000000	-1925.000000	0.408005
-575.000000	-1875.000000	0.475535
-575.000000	-1825.000000	0.464662
-575.000000	-1775.000000	0.482231
-575.000000	-1725.000000	0.532265
-575.000000	-1675.000000	0.564014
-575.000000	-1625.000000	0.615350
-575.000000	-1575.000000	0.634004
-575.000000	-1525.000000	0.653465
-575.000000	-1475.000000	0.622264
-575.000000	-1425.000000	0.629635
-575.000000	-1375.000000	0.651729
-575.000000	-1325.000000	0.661055
-575.000000	-1275.000000	0.637399
-575.000000	-1225.000000	0.605419
-575.000000	-1175.000000	0.563005
-575.000000	-1125.000000	0.526735
-575.000000	-1075.000000	0.495980
-575.000000	-1025.000000	0.443092
-575.000000	-975.000000	0.373126
-575.000000	-925.000000	0.351750
-575.000000	-875.000000	0.300451
-575.000000	-825.000000	0.239879
-575.000000	-775.000000	0.150300
-575.000000	-725.000000	0.103903
-575.000000	-675.000000	0.119748
-575.000000	-625.000000	0.100000
-575.000000	-575.000000	0.099451
-575.000000	-525.000000	0.104162
-575.000000	-475.000000	0.050604
-575.000000	-425.000000	-0.048090
-575.000000	-375.000000	-0.371604
-575.000000	775.000000	-0.120167
-575.000000	825.000000	0.100000
-575.000000	875.000000	0.100000
-575.000000	925.000000	0.104291
-575.000000	975.000000	0.103650
-575.000000	1025.000000	0.159016
-575.000000	1075.000000	0.111267
-575.000000	1125.000000	0.100624
-575.000000	1175.000000	0.100000
-575.000000	1225.000000	0.106198
-575.000000	1275.000000	0.133567
-575.000000	1325.000000	0.187593
-575.000000	1375.000000	0.327939
-575.000000	1425.000000	0.432871
-575.000000	1475.000000	0.604800
-575.000000	1525.000000	0.945199
-575.000000	1575.000000	1.233347
-575.000000	1625.000000	1.783187
-575.000000	1675.000000	2.104024
-575.000000	1725.000000	3.448436
-575.000000	1775.000000	3.466051
-575.000000	1825.000000	5.000000
-575.000000	1875.000000	5.000000
-575.000000	1925.000000	5.461916
-575.000000	1975.000000	5.323740
-525.000000	-1975.000000	0.656278
-525.000000	-1925.000000	0.662565
-525.000000	-1875.000000	0.695899
-525.000000	-1825.000000	0.698591
-525.000000	-1775.000000	0.722865
-525.000000	-1725.000000	0.780917
-525.000000	-1675.000000	0.792861
-525.000000	-1625.000000	0.818331
-525.000000	-1575.000000	0.853504
-525.000000	-1525.000000	0.854351
-525.000000	-1475.000000	0.842025
-525.000000	-1425.000000	0.840299
-525.000000	-1375.000000	0.855359
-525.000000	-1325.000000	0.820024
-525.000000	-1275.000000	0.795382
-525.000000	-1225.000000	0.770935
-525.000000	-1175.000000	0.748014
-525.000000	-1125.000000	0.682299
-525.000000	-1075.000000	0.634144
-525.000000	-1025.000000	0.590757
-525.000000	-975.000000	0.498768
-525.000000	-925.000000	0.442693
-525.000000	-875.000000	0.371615
